,Rating,Text
551,5,the seller is original iphones i am very scared buying very expensive like this online
552,5,japan version expect sound in portrait
553,2,you said that it supports facetime but it turned out that it does not the most important thing is reliability i regret buying from you
554,5,original
555,5,thanks noon
556,1,awful
557,5,genuine products
558,5,its very good
559,5,pro
560,5,as is
561,5,amazing product
562,5,
563,5,the superb quality this time
564,5,wonderful for the price
565,1,product got burn from the left side noon and the seller refused to change it after months use
566,4,fast delivery
567,5,
568,4,amazing
569,1,do not buy from this seller
570,5,middle east warranty
571,4,price was good
572,5,best
573,4,good
574,4,delivery speed
575,5,very good
576,5,original product
577,3,excellent product but something is missing
578,3,product version
579,5,excellent product
580,3,its just okay
581,2,zero aftersales service and response unfortunately
582,5,fast delivery
583,1,very bad product in the product description on the website they wrote new when i received it i found it renewed
584,5,its really really nice its really really nice
585,5,original
586,4,missing user manual
587,5,i bought an it is really excellent original
588,2,consume very fast
589,1,the product is not original and does not have the same specifications as the the product received is chinese
590,5,excellent as described
591,5,its beautiful
592,3,fast delivery
593,5,as advertised excellent condition and same day delivery
594,5,very very good
595,2,passive aggressive
596,1,they sold me the japanese version and i cant turn off the shutter sound
597,1,horrible experience
598,4,excellent
599,1,fake and no warranty for this product pls do not bye international version
600,5,good product
601,5,excellent and fast shipping from riyadh to tabuk in only days
602,1,we request return but no response and they send product back to us there is no call center number
603,3,no one should take it except from the agent himself
604,5,i was scared but it turned out to be original and awesome
605,5,packing
606,1,the product mentioned and received are different
607,5,device recive good but
608,5,owsome i liked vip thx noon
609,5,imagination
610,3,misleading information
611,5,great deal happy with the its working well recommend the seller
612,3,jp unit not lla
613,1,not working
614,5,after using month no problems at all alhumdulillah genuine
615,4,good product
616,5,
617,5,original
618,5,product original
619,1,bad
620,5,original middle east version and thumps up for seller they provide same items
621,5,very good
622,5,the is realy good
623,5,the that i received is original thank god and the seller is very honest the is amazing
624,1,the product sold doesnt meet specifications published
625,5,very good quality
626,5,ayman
627,1,return or exchange the
628,5,its meet my expectations
629,5,trust
630,5,great
631,1,not international version also not have dual sim option
632,5,the best
633,1,poor quality
634,1,fake item
635,5,original product
636,1,the product is damaged and noon does not even try to satisfy or help the consumer
637,3,japancanada version not the international version
638,5,very good
639,1,my does not charge and i cant turn on
640,5,excellent
641,5,as described
642,5,the device is very beautiful
643,5,awesome
644,5,everytime when i order noon send amazing original things really appreciated
645,5,very fast delivery and product quality also package was very secure
646,4,doesnt support esim
647,1,after days display gone now showing anything on display
648,1,version is not matching
649,5,great
650,1,the device gets hot and does not work i do not recommend buying it
651,5,
652,1,fake item
653,1,i will be out of commission after days
654,4,
655,1,nonreturnable product
656,5,original product sealed package
657,5,masaallah
658,1,i dont want this product
659,1,product is good but dont know why its getting too hot when we are doing video call
660,4,vary nice
661,4,nice
662,5,i liked it
663,5,japanese version
664,5,punctual is awesome
665,5,good
666,5,delivery is so fast
667,1,bad
668,5,the seller is authorized and the device is original
669,5,thank youuuu
670,5,product information
671,5,
672,5,masha allah tabarak allah from the last evaluation take it without thinking
673,5,genuine product
674,5,very good
675,1,no power
676,5,i love noon
677,5,the device is excellent thank god may god bless it it is a respectable and reliable company to deal with
678,5,i like
679,1,noon purchase and service is very worst dont purchase from noon i dont recommend to purchase
680,1,dont buy this product
681,5,very good
682,5,god bless
683,5,
684,5,legit and perfect condition
685,4,pretty good
686,5,good seller
687,5,excellent
688,5,expected
689,5,original genuine product
690,5,great
691,5,its original and there is no problem so far
692,5,always noon the best for us
693,5,excellent
694,5,excellent everything
695,5,awesome
696,4,packaging
697,1,the has not been around for months and it keeps turning off and overheating
698,5,
699,5,product is very good
700,1,choose the product carefully
701,5,
702,5,is fantastic
703,1,the box is very tired and broke the first time
704,5,japan spec original
705,5,gb
706,5,happy
707,5,perfectly packaged
708,5,dangerous color
709,5,
710,1,i
711,1,draining drastically
712,3,non tdra
713,5,if the condition remained the same the would be great
714,5,everything is good is bast
715,1,its japan spec and price is too high
716,1,it didnt last a week and its ruined
717,5,good
718,5,excellent
719,4,warranty
720,5,fully compliant with specifications
721,5,super
722,5,legiiiiit
723,1,non tdra registered
724,5,good
725,5,excellent original product i always deal with noon and it is not the last
726,5,fantastic product good delivery service
727,1,the is stuck be careful not to waste your money
728,5,superb product performance
729,5,backup
730,5,excellent
731,5,fast genuinely unsealed and authentic
732,5,best
733,5,it is best
734,5,it was a good
735,5,best
736,1,do not buy the physical dual sim
737,5,good product at amazing price
738,5,no facetime
739,5,arrive on time
740,5,beautiful
741,5,mashaallah its a powerful device and i highly recommend it
742,5,good and excellent
743,3,old stock
744,4,this is japan varient
745,5,device quality
746,1,i do not advise you
747,5,as described
748,3,missing
749,3,its just a dont spend your all money on it
750,5,
751,1,international model but there is no esim
752,5,great
753,5,packaging product quality original delivery price
754,5,promax usa version
755,1,have system error keep cutting calls and lossing mic voice
756,5,excellent
757,5,you r good service and original salle
758,5,
759,1,the product is not working
760,5,satisfied
761,3,box issu
762,5,good conditions
763,1,i order it its hase a issues and gone a hang
764,5,excellent
765,1,not genuine products its not trn version for uae
766,5,i in california
767,3,rate is little high from market
768,1,phones
769,5,it was a good experience buying from noon
770,5,delivered in two days
771,1,why is there no packaging on the product is it a refurbished product
772,5,the is original
773,3,its getting probably in face id
774,5,original
775,5,very good
776,1,dont give me same product
777,5,the real and its great
778,1,we trusted noon we got a used product its asking password
779,1,im order international version but received japan version
780,5,same description and delivery exactly
781,5,good
782,5,legit
783,1,i got my today why my warranty is only till is it used or what
784,5,good
785,5,amazing products amazing color and screen size
786,2,intelligence not working
787,5,very good service its on time or you can say before time im very glad to choose noon thank
788,5,thank god it came back sealed i was scared but thank god
789,4,amazing
790,5,nothing better
791,5,original and delivery on time
792,5,product is original
793,5,good product
794,5,original thank you noon
795,1,the request is still as it seems
796,5,its brand new and in perfect condition
797,4,legit
798,5,cemera very good all is good
799,5,the product was very good thanks for the help
800,5,speed of delivery and reliability of dealing
801,1,i need to use it and evaluate it at a store or branch of the company to make sure if it is what i want and if it is original
802,1,its more expensive than
803,5,timely delivery and genuine product
804,2,international version means japanese version i got
805,5,pro gb intl version
806,5,the arrived on time sealed well and had a nice discount
807,1,the sound is low and the device gets very hot while charging
808,1,send use
809,2,charge problem
810,5,
811,5,great service and fast delivery
812,5,the device in general and all its programs are excellent
813,5,it was same as described im hundred percent satisfied
814,2,not that good
815,5,its good
816,5,good
817,5,a awesome product original one i love to use it first i was afraid of buying it from noon but
818,1,japanese
819,4,good camra
820,5,beautiful
821,5,good
822,5,working perfectly
823,5,legit product legit seller
824,5,this is origional i like noon
825,5,genuine product
826,5,timely delivery and competitive pricing
827,1,the product arrived open from the inside the outer bag is sealed
828,5,excellent
829,5,same as described original product
830,5,back up
831,5,its original
832,5,the product is original
833,5,thanks
834,1,defective dont buy
835,5,delivery time
836,5,awesome
837,5,genuine and original i
838,5,as advertised new international version
839,5,same product original from
840,1,facetime is not supported
841,3,there wasnt logo sticker inside box
842,5,hertz and cpu
843,5,amazing right on time fluid and quick no heating issue
844,4,overall is good but the part slightly disappointed
845,5,genuine dual sim as i wantedperfect service by noon as always
846,5,crazy
847,5,awesome product by
848,5,received the product as mentioned in the description
849,1,too much heat problem
850,1,why does the device get hot
851,3,hitting problems
852,1,
853,1,not working
854,2,i want it to be packaged better and then put in a valuable bag
855,5,excellent
856,5,original factory sealed product
857,3,box is broken
858,5,good as if i got it from a wellknown store like jarir or others
859,4,warranty i need the seller to send it to me by email
860,5,as described
861,4,good
862,1,lack of credibility in the shipment arriving on time as written in the offer
863,5,amazing device
864,5,legit item fast and safe delivery
865,5,good product genuine tdra stock
866,1,very fast getting low
867,1,its a used
868,5,good quality i like it but no difference in international version and middle east
869,5,original middle east version
870,5,as described
871,5,authentic arrived as described
872,5,fast delivery and original and new
873,5,original product
874,5,theyre very good with they people
875,4,they give japanese version
876,5,awesome
877,5,the global version japanese is cheaper and better
878,5,noon is the best platform in uae
879,5,as described
880,1,very bad performance difficult to pair with watch
881,4,i bought it as international version but its not international version its japan version
882,5,the size
883,5,size is standard
884,5,fast delivery the arrived in a wonderful professional manner to the right place
885,5,or do i use it after that but i always buy from noon and their products are great
886,1,repack
887,5,the product is excellent original and has the same specifications
888,5,everything is perfect thank you and i hope to get cashback
889,1,clarify the origin of the so that people are not deceived
890,1,there is a screen hang problem
891,3,the charging cable is not working and there is no warranty
892,5,good one
893,4,original
894,2,no facetime
895,5,so sweet i bought it in installments
896,5,delivery
897,5,the packing was amazing
898,5,everything checked
899,4,the cartoon was scratched
900,5,good life
901,5,satisfied with product
902,1,no facetime audio no intelligence in this version
903,1,poor performance for
904,3,product coverage already activated
905,4,i m very happy with my new
906,5,excellent
907,5,excellent and continuous
908,5,amazing
909,5,
910,5,noon company is reliable punctual and a very respectable company
911,5,excellent genuine product
912,5,noon ki sarvis bahut acchi hai aur fast hai
913,5,genuine and quick delivery
914,1,noon sells fake iphones
915,3,warranty period is not as stated
916,5,delivery time is perfect
917,5,it arrived to me in an hour thank god it was perfect and i got the middle east version with facetime working on it
918,5,excellent
919,5,gb us version
920,5,perfect
921,5,good package on time delivered
922,4,pro
923,5,excellent services
924,5,besr product
925,5,original sealed
926,5,superb
927,5,wonderful in every way
928,5,super
929,5,the is good and the is good
930,5,excellent
931,5,very quick delivery
932,1,no
933,5,this is the first time i ordered an from noon the is beautiful and has no faults
934,5,market lowest price with installment facility grate
935,5,noon excellent service
936,1,wrong color
937,1,worst
938,5,gb black
939,5,worth it and original product
940,5,very legit usa version
941,5,quality and credibility
942,5,original and fast delivery
943,5,excellent same excellent specifications
944,5,good product
945,5,speed
946,5,reasonable price seller very goodl
947,1,different model
948,5,amazing
949,5,fast delivery
950,5,this is the second i have bought from noon
951,1,i did not get the cash back of rial
952,4,product is original and sealed as expected
953,5,great
954,1,nice but
955,5,its was awesome when i opened i feel the new
956,5,great product
957,5,thanks
958,1,earpiece quality is not good
959,5,all
960,5,mashaallah its nice
961,5,fast delivery and authenticity
962,5,delivery speed
963,4,not tra version but mentioned in description
964,5,excellent and we want offers for our continuing customers thank you
965,5,perfect
966,5,honesty is the most beautiful thing that distinguishes you
967,2,why is the warranty less than two years
968,5,original and beautiful
969,1,wrong version
970,5,original product
971,1,there is no sign
972,5,it was good and arrived right away
973,5,amazing experience
974,1,the product is american version and i want the uae version
975,5,timely delivery
976,5,original
977,5,
978,5,good
979,5,do always realistic service
980,5,noooo
981,3,the heat
982,3,the device is priced a little higher than the market price
983,1,price is high
984,5,quick delivery and services
985,5,brand new well packaged
986,1,bad touch screen
987,5,original and verified by
988,5,
989,5,awesome product very good and super awesome product very good and super
990,1,i ordered an tdra i received china
991,5,the is new as described
992,5,best ever
993,5,genuine original product
994,5,super
995,2,the is broken
996,5,very wonderful very wonderful very wonderful amazing fantastic fantastic
997,5,excellent
998,5,its good
999,5,
1000,4,good price
1001,2,no translation available
1002,5,beautiful
1003,5,fast delivery perfect on time
1004,5,original product
1005,5,original product
1006,1,the service is very bad regarding the warranty
1007,5,good
1008,4,i like product
1009,5,
1010,5,the color is terrible
1011,4,this is not international version
1012,5,very nice original as described
1013,5,the is great and its performance is great and excellent
1014,5,excellent
1015,5,original and excellent price
1016,4,a device lighter than the
1017,5,awesome experience with noon
1018,3,non tdra
1019,5,lovely
1020,1,middle east version required
1021,5,excellent experience
1022,5,really its good product
1023,4,version
1024,4,amazing thank you noon
1025,5,great
1026,5,excellent
1027,5,satisfied
1028,5,quick and fastest service thanks to deliveryboy specially
1029,5,device
1030,5,excellent
1031,5,amazing
1032,4,best product
1033,5,working so smoothlybest lookingsuper product
1034,5,perfect price excellent customer service
1035,1,choose an product to ensure quality
1036,5,excellent
1037,5,the best ive owned by far
1038,5,the device is working
1039,5,original
1040,5,original
1041,5,as expected
1042,5,very beautiful
1043,5,good product
1044,1,item isnt same as listed
1045,1,the device has a factory defect
1046,5,the device is excellent thank god thank you noon
1047,5,best price and quick delivery
1048,5,good but i ordered black color
1049,5,honestly beautiful performance and fast delivery
1050,1,it is not clear that the product is japanese
1051,5,the service is very good and delivery was fast
1052,1,the packaging felt refurbished
1053,3,nice but a little hot
1054,5,my st experience with noon
1055,5,good purchase
1056,1,type
1057,5,i like it
1058,1,very bad
1059,5,
1060,5,product quality and timely delivery
1061,5,the product is original
1062,5,original
1063,5,impressive product as you know that
1064,4,good
1065,5,genuine product
1066,1,i order international versions
1067,5,original and no solution
1068,5,price drops
1069,5,original as described japanese version
1070,5,this good
1071,5,original and very good
1072,5,awesome
1073,4,amazing
1074,5,very very beautiful
1075,5,awesome
1076,1,the product arrived used
1077,5,excellent
1078,1,black spot on front
1079,5,super fast delivery
1080,1,was already activated days before delivery
1081,4,the price of the is special
1082,1,refurbished item
1083,1,im not enjoying the product
1084,4,
1085,5,excellent
1086,5,excellent
1087,1,not for middle east
1088,5,superb
1089,1,i received a wrong product
1090,5,the most important thing is that it is and the rest have the same specifications
1091,5,delivery speed
1092,5,very nice the specifications are as they are i recommend buying it
1093,1,fake not middle east version
1094,5,honesty of transaction
1095,4,warranty and purchase document
1096,1,motherboard issue
1097,5,nice
1098,1,it was janeese model and description mentioned as intrrnational veraion
1099,5,good
1100,1,i got japanese spec not a trusted supplier
1101,1,got japanese version
1102,5,the speed of delivery and the price was better
1103,2,i wanted hk version
1104,5,original product fastest delivered by noon
1105,5,trust values
1106,1,the product is not working properly
1107,5,very good
1108,5,the
1109,1,i ordered a dual sim
1110,5,natural titanium
1111,5,the device is very excellent thank god
1112,5,excellent
1113,4,great product and delivered on time
1114,5,sweet uncle i recommend trying it with noon
1115,5,best product u can trust noon
1116,5,good
1117,5,after a month and a half of trying
1118,5,its on thank god
1119,4,not international version
1120,1,dont buy it online its damaged
1121,5,genuine
1122,5,the product is as described new and at an excellent price
1123,5,
1124,5,was delivered next day everything seems fine great service
1125,1,it said hk but send me china version with out ai
1126,1,working so bad
1127,5,very good product thank you for your interest
1128,4,love the device
1129,4,i really liked it and it is nice and smooth to use
1130,1,plastic sealed looks like not even a new one
1131,5,the device is original and excellent and the price is the lowest in the market i recommend dealing with noon
1132,5,its legit
1133,5,product quality
1134,5,amazing
1135,5,original
1136,1,i purchased a device and the icloud account is not working
1137,5,thank god i ordered it and it is good original and has exactly the same specifications
1138,5,premium edition
1139,5,very excellent
1140,5,quality
1141,5,happy with noon
1142,1,bad product
1143,4,
1144,5,the product is original
1145,5,i recommend it to you its amazing
1146,5,original product from
1147,5,the product is new and official warranty start after i open
1148,5,excellent
1149,5,original and authentic
1150,5,original product thanks to seller and noon for faster delivery
1151,1,
1152,5,the product is very nice
1153,5,excellent product and fast delivery
1154,5,
1155,4,its good
1156,5,original packaging and product
1157,1,shutting down
1158,1,as soon as i took the it suddenly became hot
1159,3,writing in arabic
1160,5,fast delivery well packaged and in use
1161,4,it is a japanese version
